Header,Subheader,IDA,IDB,StatA,StatB
UTAH VS STANFORD,Final Score,UTAH,STANFORD,79,73
STANFORD,Record,Wins,Losses,4,2
UTAH UTES,Record,Wins,Losses,3,3
STANFORD,Conference Record,Wins,Losses,3,8
STANFORD VS ARIZONA,Final Score,STANFORD,ARIZONA,100,82
UTAH UTES,Conference Record,Wins,Losses,4,6
STANFORD VS WAZZU,Final Score,STANFORD,WAZZU,89,75
STANFORD VS WASHINGTON,Final Score,STANFORD,WASHINGTON,90,80
STANFORD VS CAL,Final Score,STANFORD,CAL,71,73
STANFORD VS ASU,Final Score,STANFORD,ASU,71,62
STANFORD VS ARIZONA,Final Score,STANFORD,ARIZONA,71,82
STANFORD VS UCLA,Final Score,STANFORD,UCLA,74,82
STANFORD VS USC,Final Score,STANFORD,USC,99,68
STANFORD VS WASHINGTON,Final Score,STANFORD,WASHINGTON,65,85
STANFORD VS WAZZU,Final Score,STANFORD,WAZZU,59,72
STANFORD VS OREGON,Final Score,STANFORD,OREGON,78,65
STANFORD VS OSU,Final Score,STANFORD,OSU,85,73
UTAH UTES #8,Record,Wins,Losses,7,9
WASHINGTON & STANFORD #9,Record,Wins,Losses,7,10
CAL #6,Record,Wins,Losses,9,8
